cauldron,date,average_section_slope,average_section_r_squared,section_count,total_generation_minutes,start_of_day_amount,end_of_day_amount
cauldron_009,2025-10-31,0.19854784263686406,0.9701819282397799,51,614.0,264.46,520.32
cauldron_009,2025-11-01,0.23150280162706396,0.9623972832203713,126,766.0,520.69,590.65
cauldron_009,2025-11-02,0.254585717871698,0.9592125139112156,191,821.0,590.2,805.39
cauldron_009,2025-11-03,0.29879270145059517,0.9557693273552228,171,581.0,805.24,866.81
cauldron_009,2025-11-04,0.3183130186921175,0.9635429910239723,135,498.0,867.42,845.13
cauldron_009,2025-11-05,0.14402636927949714,0.9194682778906023,202,682.0,844.68,949.83
cauldron_009,2025-11-06,0.21374724134720496,0.9402290482911143,143,479.0,949.97,852.68
cauldron_009,2025-11-07,0.21335311413056882,0.9296067632938941,173,587.0,853.1,876.64
cauldron_009,2025-11-08,0.1581313630067108,0.9430088533143924,209,627.0,876.19,949.8
cauldron_009,2025-11-09,0.1686851658106165,0.9296810971296281,156,572.0,949.54,906.33
cauldron_010,2025-10-30,0.08763657157527245,0.9643555399317212,106,918.0,203.81,168.69
cauldron_010,2025-10-31,0.08212039277781004,0.9731184169659625,51,1250.0,168.23,227.4
cauldron_010,2025-11-01,0.10857857460646766,0.962101097572839,191,871.0,227.57,333.2
cauldron_010,2025-11-02,0.11275269346899569,0.9578065570472503,175,690.0,332.8,351.75
cauldron_010,2025-11-03,0.13234226418166697,0.9587007257495114,214,712.0,351.82,462.69
cauldron_010,2025-11-04,0.1486191216191218,0.963043008214787,198,613.0,462.67,476.74
cauldron_010,2025-11-05,0.15877768792054475,0.9638107780539301,189,544.0,476.99,486.76
cauldron_010,2025-11-06,0.14448314991080033,0.9659876631940921,187,558.0,486.81,490.85
cauldron_010,2025-11-07,0.15841363819107723,0.9503808839948508,164,507.0,491.03,494.32
cauldron_010,2025-11-08,0.1617893607194395,0.9582928044736709,159,518.0,494.46,416.22
cauldron_010,2025-11-09,0.1266936768446168,0.9556340805327854,66,475.0,416.21,132.78
cauldron_011,2025-10-30,0.12458724603834051,0.9707802979570399,121,568.0,410.88,247.89
cauldron_011,2025-10-31,0.10212214189843104,0.9584658149926492,71,1089.0,247.91,280.59
cauldron_011,2025-11-01,0.13075142735860565,0.9602622012721185,180,873.0,280.6,410.74
cauldron_011,2025-11-02,0.13467422867764903,0.9496442868095348,125,562.0,410.8,248.72
cauldron_011,2025-11-03,0.10345570188248941,0.9584695517289309,59,911.0,248.88,183.05
cauldron_011,2025-11-04,0.10341542344925926,0.9911235634467503,9,1245.0,182.6,214.84
cauldron_011,2025-11-05,0.09928864572953036,0.9522514729161132,80,1116.0,214.99,168.24
cauldron_011,2025-11-06,0.10004537600649882,0.96840750156418,52,959.0,168.39,201.05
cauldron_011,2025-11-07,0.09893143832273728,0.967768734844659,57,1028.0,201.22,187.68
cauldron_011,2025-11-08,0.10120571541218082,0.9599614400971994,67,1193.0,187.23,264.39
cauldron_011,2025-11-09,0.11949372063797824,0.9560808684615325,143,775.0,264.41,250.15
cauldron_012,2025-10-30,0.07074916189544071,0.9772437722341966,21,1226.0,174.48,172.03
cauldron_012,2025-10-31,0.08374093837219206,0.9602364772579961,165,979.0,172.15,266.27
cauldron_012,2025-11-01,0.10179746558086407,0.9605405024997672,140,639.0,266.27,198.54
cauldron_012,2025-11-02,0.07716916288879311,0.9645589640546931,83,1061.0,198.69,194.69
cauldron_012,2025-11-03,0.09501915583796278,0.958867377430147,175,922.0,194.7,290.93
cauldron_012,2025-11-04,0.10131780711491332,0.9543196867440945,173,700.0,290.91,303.88
cauldron_012,2025-11-05,0.11766880287200383,0.9547145264313099,203,726.0,303.83,399.67
cauldron_012,2025-11-06,0.11952297004914919,0.9549849955030141,191,564.0,399.81,392.0
cauldron_012,2025-11-07,0.12732829217883435,0.9578892983341614,184,554.0,392.24,389.02
cauldron_012,2025-11-08,0.13418702013617415,0.9666110909530303,177,558.0,389.12,345.38
cauldron_012,2025-11-09,0.11349448522117161,0.9570045817353653,193,650.0,344.92,382.04
