cauldron_001,cauldron_002,cauldron_003,cauldron_004,cauldron_005,cauldron_006,cauldron_007,cauldron_008,cauldron_009,cauldron_010,cauldron_011,cauldron_012,time
232.16,245.42,282.9,186.97,298.53,163.85,346.83,199.14,15.57,208.85,418.68,148.09,1761786780.0
232.24,245.45,283.0,186.98,298.67,163.95,347.09,199.17,15.75,208.96,418.74,147.63,1761786840.0
232.42,245.42,283.18,186.96,298.64,163.97,347.22,199.33,15.93,209.11,418.71,147.17,1761786900.0
232.58,245.42,283.34,186.95,298.75,164.0,347.35,199.37,16.11,209.22,418.78,146.71,1761786960.0
232.7,245.49,283.3,187.09,298.68,164.01,347.36,199.54,16.28,209.38,418.66,146.25,1761787020.0
232.74,245.54,283.46,187.24,298.84,164.01,347.56,199.58,16.47,209.35,418.73,145.79,1761787080.0
232.82,245.58,283.64,187.35,298.95,164.07,347.79,199.6,16.65,209.41,418.82,145.33,1761787140.0
232.93,245.76,283.65,187.46,299.15,164.18,347.72,199.63,16.82,209.47,419.03,144.87,1761787200.0
233.11,245.92,283.83,187.47,299.2,164.29,347.77,199.71,17.0,209.56,419.1,144.41,1761787260.0
233.14,246.03,283.85,187.52,299.4,164.32,347.82,199.76,17.17,209.56,419.13,143.95,1761787320.0
233.15,246.18,283.97,187.66,299.59,164.45,347.95,199.92,17.35,209.66,419.37,143.49,1761787380.0
233.33,246.34,283.97,187.7,299.61,164.57,348.14,200.0,17.53,209.78,419.63,143.03,1761787440.0
233.49,246.44,283.96,187.82,299.8,164.55,348.34,200.05,17.7,209.86,419.8,142.57,1761787500.0
233.56,246.43,284.03,187.8,300.0,164.62,348.41,200.22,17.87,210.01,419.71,142.11,1761787560.0
233.57,246.53,283.99,187.82,300.14,164.62,348.39,200.31,18.05,210.01,419.84,141.65,1761787620.0
233.64,246.68,284.01,187.96,300.14,164.66,348.53,200.39,18.23,210.11,420.0,141.19,1761787680.0
233.79,246.71,284.05,188.06,300.12,164.69,348.76,200.4,18.4,210.19,420.17,140.73,1761787740.0
233.78,246.69,284.16,188.21,300.18,164.81,348.68,200.39,18.58,210.3,420.19,140.27,1761787800.0
233.92,246.85,284.38,188.19,300.17,164.82,348.7,200.48,18.75,210.31,420.45,139.81,1761787860.0
233.89,246.85,284.39,188.21,300.29,164.8,348.86,200.59,18.92,210.31,420.7,139.35,1761787920.0
233.91,247.04,284.57,188.25,300.36,164.86,349.1,200.69,19.11,210.35,420.72,138.89,1761787980.0
234.08,247.13,284.71,188.29,300.46,164.86,349.26,200.78,19.29,210.44,421.01,138.43,1761788040.0
234.2,247.31,284.93,188.44,300.4,164.88,349.26,200.95,19.46,210.59,421.21,137.97,1761788100.0
234.2,247.4,284.88,188.57,300.46,164.95,349.25,200.94,19.64,210.72,421.26,137.51,1761788160.0
234.34,247.55,285.06,188.68,300.63,165.05,349.31,201.0,19.82,210.75,421.32,137.05,1761788220.0
234.36,247.7,285.29,188.76,300.73,165.16,349.36,201.06,19.99,210.83,421.21,136.59,1761788280.0
234.34,247.8,285.48,188.87,300.94,165.18,349.3,201.16,20.17,210.87,421.35,136.13,1761788340.0
234.39,247.93,285.45,189.0,300.95,165.3,349.34,201.31,20.34,210.92,421.39,135.67,1761788400.0
234.55,248.02,285.46,189.16,301.11,165.37,349.38,201.41,20.53,210.93,421.3,135.21,1761788460.0
234.69,248.04,285.64,189.25,301.2,165.44,349.31,201.52,20.72,211.07,421.53,134.75,1761788520.0
234.87,248.11,285.76,189.37,301.17,165.56,349.57,201.51,20.9,211.23,421.68,134.29,1761788580.0
235.0,248.17,285.87,189.47,301.36,165.59,349.81,201.62,21.07,211.3,421.83,133.83,1761788640.0
235.12,248.33,286.0,189.53,301.58,165.68,350.04,201.71,21.25,211.43,421.91,133.37,1761788700.0
235.17,248.43,286.09,189.54,301.62,165.68,350.09,201.74,21.42,211.43,421.99,132.91,1761788760.0
235.33,248.61,286.28,189.6,301.83,165.79,350.33,201.88,21.59,211.43,422.11,132.45,1761788820.0
235.3,248.73,286.31,189.66,301.82,165.86,350.32,202.05,21.78,211.51,422.16,131.99,1761788880.0
235.5,248.75,286.51,189.7,301.92,165.91,350.33,202.17,21.96,211.5,422.25,131.53,1761788940.0
235.53,248.89,286.66,189.76,301.85,165.92,350.56,202.28,22.15,211.66,422.37,131.07,1761789000.0
235.7,248.92,286.63,189.77,301.98,165.97,350.54,202.34,22.32,211.68,422.51,130.61,1761789060.0
235.86,248.95,286.82,189.89,301.93,166.05,350.69,202.51,22.49,211.71,422.49,130.15,1761789120.0
236.02,249.11,286.98,189.96,302.14,166.18,350.87,202.52,22.66,211.72,422.43,129.69,1761789180.0
236.04,249.3,287.11,190.01,302.32,166.24,350.8,202.68,22.84,211.9,422.52,129.23,1761789240.0
236.05,249.25,287.29,190.04,302.37,166.36,350.92,202.66,23.01,211.87,422.41,128.77,1761789300.0
236.16,249.33,287.48,190.16,302.35,166.43,350.98,202.72,23.19,211.85,422.66,128.31,1761789360.0
236.23,249.48,287.54,190.31,302.34,166.46,350.91,202.88,23.38,212.02,422.6,127.85,1761789420.0
236.34,249.66,287.67,190.35,302.36,166.47,351.05,202.94,23.55,212.18,422.8,127.39,1761789480.0
236.42,249.62,287.71,190.46,302.35,166.5,351.14,203.07,23.73,212.31,422.83,126.93,1761789540.0
236.53,249.57,287.74,190.57,302.39,166.62,351.19,203.16,23.89,212.29,422.78,126.47,1761789600.0
236.58,249.68,287.76,190.61,302.32,166.71,351.18,203.3,24.07,212.4,422.88,126.01,1761789660.0
236.58,249.78,287.78,190.71,302.5,166.82,351.25,203.38,24.26,212.55,422.8,125.55,1761789720.0
236.68,249.83,287.87,190.84,302.72,166.93,351.44,203.43,24.43,212.7,422.92,125.09,1761789780.0
236.87,249.91,288.04,190.93,302.78,166.95,351.43,203.45,24.6,212.81,423.05,124.63,1761789840.0
236.85,250.03,288.27,190.97,302.94,167.03,351.4,203.59,24.77,212.91,423.17,124.17,1761789900.0
237.04,250.11,288.3,190.96,302.92,167.1,351.53,203.63,24.96,212.98,423.35,123.71,1761789960.0
237.12,250.05,288.48,191.02,302.96,167.08,351.66,203.77,25.12,213.04,423.27,123.25,1761790020.0
237.13,250.07,288.48,191.13,303.01,167.17,351.76,203.77,25.3,213.12,423.24,122.79,1761790080.0
237.3,250.05,288.65,191.27,303.03,167.25,351.85,203.76,25.48,213.2,423.33,122.33,1761790140.0
237.36,250.14,288.78,191.38,303.01,167.29,351.84,203.93,25.65,213.17,423.27,121.87,1761790200.0
237.35,250.09,288.74,191.51,302.98,167.3,352.05,203.91,25.82,213.25,423.3,121.41,1761790260.0
237.39,250.12,288.75,191.58,302.95,167.37,352.15,204.03,26.01,213.25,423.5,120.95,1761790320.0
237.39,250.21,288.79,191.74,303.02,167.42,352.26,204.16,26.2,213.41,423.45,120.49,1761790380.0
237.56,250.31,288.98,191.85,303.17,167.5,352.43,204.19,26.37,213.57,423.56,120.03,1761790440.0
237.58,250.29,288.99,191.98,303.35,167.47,352.56,204.28,26.56,213.67,423.75,119.57,1761790500.0
237.62,250.24,289.1,191.96,303.38,167.51,352.53,204.33,26.75,213.78,423.89,119.11,1761790560.0
237.65,250.23,289.13,192.07,303.35,167.55,352.48,204.47,26.93,213.77,423.9,118.65,1761790620.0
237.66,250.37,289.27,192.11,303.55,167.54,352.4,204.53,27.11,213.85,423.99,118.19,1761790680.0
237.83,250.33,289.49,192.13,303.65,167.64,352.58,204.62,27.29,213.93,423.95,117.73,1761790740.0
237.9,250.45,289.69,192.29,303.66,167.65,352.83,204.6,27.48,213.9,423.91,117.27,1761790800.0
238.02,250.59,289.64,192.28,303.88,167.65,352.76,204.75,27.66,213.98,423.8,116.81,1761790860.0
238.11,250.72,289.66,192.37,303.89,167.73,352.91,204.87,27.86,214.11,423.68,116.35,1761790920.0
238.19,250.84,289.77,192.37,304.06,167.86,353.18,204.89,28.04,214.16,423.61,115.89,1761790980.0
238.36,250.98,290.0,192.44,304.24,167.85,353.25,205.07,28.23,214.25,423.86,115.43,1761791040.0
238.47,250.92,290.02,192.57,304.25,167.97,353.47,205.23,28.42,214.34,423.82,114.97,1761791100.0
238.43,250.94,290.02,192.61,304.31,168.02,353.65,205.32,28.58,214.48,424.1,114.51,1761791160.0
238.57,251.09,290.1,192.71,304.3,168.03,353.57,205.37,28.77,214.63,424.06,114.05,1761791220.0
238.59,251.04,290.06,192.71,304.29,168.07,353.64,205.37,28.95,214.71,424.27,113.59,1761791280.0
238.61,251.06,290.26,192.7,304.26,168.07,353.91,205.45,29.11,214.69,424.39,113.13,1761791340.0
238.63,251.25,290.29,192.68,304.41,168.14,353.86,205.45,29.3,214.83,424.68,112.67,1761791400.0
238.67,251.22,290.52,192.66,304.58,168.11,353.86,205.52,29.48,215.01,424.62,112.21,1761791460.0
238.79,251.36,290.68,192.74,304.77,168.17,353.83,205.66,29.66,215.11,424.81,111.75,1761791520.0
238.97,251.38,290.66,192.88,304.98,168.3,354.1,205.75,29.83,215.22,424.7,111.29,1761791580.0
239.04,251.56,290.73,192.91,305.08,168.27,354.28,205.74,30.02,215.3,424.78,110.83,1761791640.0
239.23,251.62,290.86,193.03,305.13,168.39,354.43,205.84,30.19,215.34,424.73,110.37,1761791700.0
239.2,251.65,290.89,193.13,305.28,168.47,354.6,205.86,30.38,215.41,424.75,109.91,1761791760.0
239.16,251.68,290.97,193.11,305.28,168.44,354.78,205.96,30.55,215.48,424.89,109.45,1761791820.0
239.33,251.72,290.93,193.27,305.39,168.53,354.71,206.09,30.74,215.46,424.96,108.99,1761791880.0
239.53,251.74,290.98,193.3,305.58,168.62,354.84,206.15,30.91,215.61,425.02,108.53,1761791940.0
239.56,251.68,291.0,193.35,305.79,168.68,354.77,206.19,31.07,215.76,424.9,108.07,1761792000.0
239.63,251.86,291.11,193.51,305.93,168.67,354.79,206.18,31.26,215.82,424.84,107.61,1761792060.0
239.8,251.92,291.32,193.6,305.93,168.79,354.91,206.26,31.43,215.92,425.05,107.15,1761792120.0
239.82,252.02,291.36,193.75,305.9,168.87,354.97,206.31,31.61,216.01,424.97,106.69,1761792180.0
239.84,252.11,291.54,193.88,306.0,168.99,354.96,206.3,31.78,216.07,425.22,106.23,1761792240.0
239.96,252.09,291.76,193.88,306.14,169.06,354.9,206.45,31.96,216.24,425.4,105.77,1761792300.0
239.96,252.23,291.81,193.91,306.23,169.12,354.93,206.54,32.15,216.27,425.54,105.31,1761792360.0
240.1,252.31,292.03,194.0,306.18,169.16,355.17,206.52,32.32,216.25,425.46,104.85,1761792420.0
240.09,252.33,291.99,194.11,306.11,169.17,355.18,206.66,32.49,216.41,425.5,104.39,1761792480.0
240.2,252.35,292.04,194.18,306.04,169.15,355.13,206.72,32.68,216.54,425.58,103.93,1761792540.0
240.34,252.43,292.26,194.21,306.17,169.16,355.34,206.88,32.85,216.71,425.48,103.47,1761792600.0
240.41,252.42,292.3,194.19,306.39,169.18,355.35,207.04,33.03,216.77,425.48,103.01,1761792660.0
240.43,252.45,292.38,194.2,306.6,169.2,355.52,207.02,33.21,216.83,425.64,102.55,1761792720.0
240.59,252.57,292.45,194.24,306.55,169.34,355.64,207.12,33.4,216.87,425.76,102.09,1761792780.0
240.59,252.53,292.41,194.29,306.48,169.42,355.77,207.14,33.6,217.01,425.94,101.63,1761792840.0
240.69,252.48,292.37,194.37,306.59,169.42,355.85,207.16,33.78,217.0,426.19,101.17,1761792900.0
240.66,252.42,292.53,194.41,306.53,169.49,355.86,207.3,33.95,217.04,426.25,100.71,1761792960.0
240.66,252.57,292.49,194.45,306.71,169.55,356.09,207.35,34.12,217.07,426.2,100.25,1761793020.0
240.77,252.71,292.55,194.48,306.83,169.66,356.15,207.46,34.29,217.08,426.47,99.79,1761793080.0
240.76,252.82,292.53,194.65,306.83,169.74,356.12,207.45,34.46,217.2,426.49,99.33,1761793140.0
240.92,252.89,292.69,194.79,307.0,169.74,356.1,207.58,34.64,217.21,426.68,98.87,1761793200.0
241.07,252.91,292.89,194.81,307.13,169.77,356.13,207.67,34.83,217.28,426.87,98.41,1761793260.0
241.06,253.03,293.05,194.89,307.25,169.78,356.11,207.81,35.02,217.43,426.92,97.95,1761793320.0
241.13,252.99,293.03,195.05,307.19,169.79,356.1,207.8,35.21,217.59,426.96,97.49,1761793380.0
241.29,253.07,293.24,195.16,307.32,169.79,356.33,207.83,35.41,217.7,426.98,97.03,1761793440.0
241.4,253.05,293.43,195.15,307.26,169.78,356.59,207.9,35.58,217.75,426.96,96.57,1761793500.0
241.45,253.08,293.44,195.23,307.3,169.76,356.64,208.03,35.76,217.9,427.06,96.11,1761793560.0
241.52,253.11,293.54,195.38,307.47,169.88,356.74,208.19,35.94,218.02,427.27,95.65,1761793620.0
241.49,253.25,293.65,195.5,307.62,169.88,356.86,208.23,36.13,217.99,427.25,95.19,1761793680.0
241.7,253.41,293.62,195.5,307.57,170.01,356.85,208.26,36.32,218.08,427.34,94.73,1761793740.0
241.86,253.4,293.73,195.55,307.79,170.02,356.78,208.37,36.49,218.24,427.51,94.27,1761793800.0
241.84,253.51,293.85,195.57,307.72,170.01,356.81,208.4,36.67,218.36,427.72,93.81,1761793860.0
241.9,253.68,294.08,195.67,307.87,170.11,356.86,208.53,36.87,218.53,427.77,93.35,1761793920.0
242.1,253.66,294.29,195.77,307.92,170.13,357.06,208.6,37.05,218.53,427.86,92.89,1761793980.0
242.11,253.81,294.52,195.84,307.97,170.1,357.11,208.66,37.23,218.71,427.98,92.43,1761794040.0
242.28,253.81,294.5,195.84,307.94,170.09,357.07,208.69,37.41,218.69,427.87,91.97,1761794100.0
242.34,253.91,294.52,195.82,308.09,170.1,357.03,208.72,37.6,218.66,428.06,92.0,1761794160.0
242.49,253.94,294.52,195.86,308.06,170.13,356.97,208.89,37.77,218.72,428.04,92.06,1761794220.0
242.67,253.95,294.72,195.95,308.12,170.26,357.2,209.02,37.93,218.69,428.16,92.11,1761794280.0
242.8,254.04,294.93,196.03,308.19,170.33,357.25,209.19,38.1,218.82,428.23,92.15,1761794340.0
243.0,254.11,295.05,196.06,308.22,170.46,357.42,209.32,38.3,218.96,428.24,92.19,1761794400.0
243.02,254.11,295.16,196.12,308.23,170.59,357.62,209.32,38.48,219.06,428.28,92.27,1761794460.0
243.17,254.21,295.12,196.28,308.19,170.72,357.81,209.31,38.67,219.22,428.31,92.29,1761794520.0
243.32,254.4,295.16,196.36,308.17,170.82,357.92,209.35,38.85,219.32,428.57,92.37,1761794580.0
243.28,254.47,295.34,196.37,308.29,170.88,358.05,209.44,39.02,219.29,428.67,92.46,1761794640.0
243.33,254.66,295.48,196.37,308.37,170.96,358.17,209.49,39.2,219.46,428.62,92.54,1761794700.0
243.35,254.8,295.69,196.35,308.53,171.07,358.15,209.47,39.36,219.46,428.87,92.64,1761794760.0
243.53,254.81,295.76,196.46,308.52,171.12,358.35,209.46,39.55,219.43,428.82,92.69,1761794820.0
243.61,254.78,295.95,196.55,308.55,171.23,358.42,209.48,39.73,219.45,428.89,92.71,1761794880.0
243.59,254.84,296.17,196.69,308.5,171.27,358.57,209.53,39.88,219.51,429.0,92.78,1761794940.0
243.69,254.91,296.4,196.69,308.61,171.29,358.75,209.64,40.06,219.54,429.07,92.83,1761795000.0
243.75,254.95,296.45,196.75,308.67,171.39,358.84,209.64,40.25,219.64,429.25,92.93,1761795060.0
243.82,254.96,296.6,196.77,308.66,171.41,358.83,209.81,40.42,219.71,429.26,92.97,1761795120.0
244.0,254.98,296.6,196.92,308.6,171.41,359.0,209.94,40.6,219.87,429.16,93.05,1761795180.0
244.01,255.09,296.81,197.08,308.55,171.38,358.94,209.99,40.8,219.97,429.32,93.07,1761795240.0
244.12,255.09,297.02,197.06,308.64,171.46,358.86,210.01,40.98,220.0,429.27,93.13,1761795300.0
244.28,255.21,297.11,197.15,308.82,171.57,358.96,210.16,41.17,220.05,429.33,93.18,1761795360.0
244.48,255.29,297.2,197.24,309.03,171.62,358.99,210.13,41.36,220.05,429.59,93.24,1761795420.0
244.64,255.35,297.41,197.33,308.98,171.61,359.19,210.12,41.55,220.14,429.54,93.27,1761795480.0
244.7,255.47,297.63,197.34,308.95,171.73,359.15,210.31,41.74,220.22,429.72,93.37,1761795540.0
244.9,255.49,297.86,197.38,308.99,171.78,359.08,210.35,41.9,220.24,429.61,93.43,1761795600.0
244.96,255.47,297.84,197.4,309.11,171.83,359.05,210.41,42.07,220.23,429.76,93.54,1761795660.0
244.95,255.43,297.81,197.56,309.07,171.95,359.25,210.46,42.24,220.24,429.72,93.62,1761795720.0
245.03,255.54,297.85,197.67,309.04,172.03,359.2,210.54,42.43,220.38,429.68,93.68,1761795780.0
245.02,255.59,297.95,197.81,308.96,172.15,359.29,210.6,42.62,220.54,429.79,93.75,1761795840.0
245.13,255.67,297.9,197.8,309.0,172.28,359.39,210.74,42.82,220.53,429.93,93.85,1761795900.0
245.32,255.63,297.87,197.9,309.2,172.28,359.33,210.76,43.01,220.57,430.16,93.88,1761795960.0
245.41,255.72,297.84,197.96,309.23,172.41,359.37,210.9,43.18,220.72,430.39,93.98,1761796020.0
245.53,255.84,297.87,198.04,309.35,172.51,359.5,210.98,43.35,220.87,430.39,94.01,1761796080.0
245.69,255.89,297.92,198.13,309.33,172.49,359.7,211.08,43.55,220.89,430.51,94.12,1761796140.0
245.76,255.9,297.86,198.12,309.55,172.61,359.69,211.13,43.74,220.96,430.52,94.19,1761796200.0
245.76,255.88,298.06,198.12,309.67,172.63,359.7,211.12,43.9,221.0,430.5,94.27,1761796260.0
245.8,256.07,298.04,198.18,309.81,172.71,359.64,211.2,44.1,221.16,430.43,94.35,1761796320.0
245.84,256.2,298.12,198.18,309.96,172.82,359.64,211.38,44.26,221.33,430.61,94.42,1761796380.0
245.87,256.21,298.24,198.34,310.12,172.92,359.77,211.5,44.45,221.4,430.56,94.47,1761796440.0
245.82,256.23,298.36,198.38,310.34,173.01,359.91,211.66,44.65,221.37,430.63,94.53,1761796500.0
245.9,256.24,298.49,198.41,310.52,173.13,359.94,211.7,44.81,221.44,430.87,94.57,1761796560.0
245.87,256.42,298.54,198.57,310.63,173.23,360.02,211.85,44.99,221.55,430.82,94.68,1761796620.0
246.05,256.46,298.56,198.61,310.61,173.31,360.01,211.9,45.16,221.53,430.97,94.75,1761796680.0
246.23,256.43,298.6,198.61,310.65,173.31,360.04,211.95,45.33,221.72,430.88,94.86,1761796740.0
246.29,256.49,298.76,198.74,310.74,173.32,360.26,211.98,45.53,221.69,430.76,94.88,1761796800.0
246.4,256.58,298.83,198.82,310.8,173.36,360.53,212.13,45.7,221.71,430.96,94.9,1761796860.0
246.36,256.65,298.95,198.79,310.76,173.5,360.75,212.12,45.89,221.85,431.16,94.94,1761796920.0
246.49,256.83,299.1,198.86,310.97,173.6,360.91,212.16,46.06,221.98,431.07,95.05,1761796980.0
246.56,256.85,299.08,198.94,311.05,173.58,361.19,212.14,46.24,221.97,431.23,95.09,1761797040.0
246.56,256.93,299.05,198.93,311.18,173.61,361.45,212.15,46.42,221.96,431.24,95.2,1761797100.0
246.76,257.09,299.2,198.9,311.4,173.64,361.54,212.29,46.61,222.06,431.39,95.25,1761797160.0
246.75,257.1,299.36,198.91,311.61,173.76,361.76,212.45,46.78,222.07,431.4,95.27,1761797220.0
246.72,257.1,299.6,198.9,311.83,173.75,361.86,212.58,46.97,222.07,431.52,95.29,1761797280.0
246.81,257.25,299.82,198.92,311.98,173.74,361.8,212.56,47.15,222.1,431.79,95.38,1761797340.0
246.78,257.28,299.99,199.06,311.9,173.75,361.82,212.69,47.32,222.15,432.09,95.47,1761797400.0
